Clarke County,2004,101972,2005,103471,2006,104241,2007,105840,2008,109289,2009,109083,2010,111524,2011,113457,2012,115154,2013,116342
Madison County,2004,25856,2005,26105,2006,26586,2007,26929,2008,26932,2009,27203,2010,27451,2011,27780,2012,28009,2013,28232
Oconee County,2004,26368,2005,26675,2006,27100,2007,27958,2008,28568,2009,29303,2010,30450,2011,31511,2012,32528,2013,33320
Oglethorpe County,2004,12707,2005,12884,2006,13083,2007,13219,2008,13378,2009,13424,2010,13688,2011,13962,2012,14235,2013,14328
Barrow County,2004,46561,2005,48461,2006,50982,2007,53069,2008,56198,2009,59390,2010,63317,2011,67170,2012,70255,2013,72158
Bartow County,2004,76703,2005,79513,2006,82246,2007,84440,2008,86145,2009,88150,2010,90369,2011,92717,2012,94999,2013,96217
Butts County,2004,19737,2005,20364,2006,21232,2007,21816,2008,22026,2009,22453,2010,23101,2011,23644,2012,24388,2013,24392
Carroll County,2004,88009,2005,91572,2006,94874,2007,98511,2008,101304,2009,104465,2010,108255,2011,111928,2012,113781,2013,114778
Cherokee County,2004,143783,2005,151348,2006,159006,2007,165961,2008,173692,2009,182858,2010,194219,2011,203890,2012,210115,2013,215084
Clayton County,2004,238383,2005,247251,2006,252560,2007,257983,2008,262316,2009,264866,2010,268907,2011,272705,2012,276009,2013,275772
Cobb County,2004,612633,2005,626934,2006,637772,2007,643816,2008,652358,2009,661442,2010,679699,2011,691496,2012,704822,2013,714692
Coweta County,2004,90148,2005,93765,2006,97424,2007,100684,2008,104496,2009,108841,2010,114324,2011,118964,2012,123416,2013,127111
Dawson County,2004,16304,2005,16919,2006,17546,2007,18403,2008,18810,2009,19666,2010,20721,2011,21602,2012,22104,2013,22555
DeKalb County,2004,668826,2005,682207,2006,690039,2007,697130,2008,704512,2009,716778,2010,727078,2011,733746,2012,740426,2013,747274
Douglas County,2004,92700,2005,95504,2006,98222,2007,101460,2008,106596,2009,112370,2010,118777,2011,124324,2012,128111,2013,129703
Fayette County,2004,92082,2005,94216,2006,95988,2007,98032,2008,99951,2009,102556,2010,104842,2011,105933,2012,106398,2013,106788
Forsyth County,2004,100467,2005,108680,2006,116127,2007,123112,2008,130225,2009,138386,2010,148196,2011,158369,2012,168098,2013,174520
Fulton County,2004,817145,2005,846877,2006,862931,2007,881850,2008,905802,2009,934242,2010,963596,2011,990790,2012,1013356,2013,1033756
Gwinnett County,2004,596296,2005,621798,2006,644753,2007,666768,2008,691986,2009,716436,2010,746975,2011,772464,2012,790519,2013,808167
Haralson County,2004,25832,2005,26298,2006,26752,2007,27297,2008,27715,2009,28090,2010,28256,2011,28708,2012,28849,2013,28890
Heard County,2004,11085,2005,11163,2006,11190,2007,11099,2008,11167,2009,11220,2010,11382,2011,11424,2012,11561,2013,11528
Henry County,2004,121572,2005,130460,2006,139800,2007,149461,2008,157954,2009,166966,2010,176995,2011,184902,2012,190529,2013,195370
Jasper County,2004,11488,2005,11631,2006,12028,2007,12440,2008,12615,2009,13025,2010,13432,2011,13660,2012,13869,2013,13953
Lamar County,2004,15969,2005,16338,2006,16131,2007,16239,2008,16286,2009,16566,2010,16642,2011,16930,2012,17363,2013,17550
Meriwether County,2004,22527,2005,22589,2006,22864,2007,22740,2008,22806,2009,22814,2010,22976,2011,22788,2012,22931,2013,22783
Newton County,2004,62883,2005,66941,2006,71239,2007,75699,2008,80650,2009,85657,2010,90657,2011,95739,2012,98385,2013,99944
Paulding County,2004,83004,2005,88590,2006,93888,2007,99199,2008,104820,2009,111084,2010,119959,2011,127903,2012,133300,2013,136655
Pickens County,2004,23359,2005,24487,2006,25575,2007,26688,2008,27481,2009,28141,2010,29232,2011,30406,2012,31063,2013,31264
Pike County,2004,13798,2005,14036,2006,14610,2007,15020,2008,15574,2009,15968,2010,16602,2011,17193,2012,17578,2013,17721
Rockdale County,2004,70566,2005,71712,2006,72987,2007,74656,2008,76330,2009,77810,2010,79605,2011,81835,2012,83400,2013,84569
Spalding County,2004,58486,2005,59001,2006,59868,2007,60369,2008,60744,2009,61278,2010,62232,2011,63056,2012,64089,2013,64708
Walton County,2004,61559,2005,64295,2006,66856,2007,69204,2008,71741,2009,75494,2010,79295,2011,83241,2012,85872,2013,87311
